"Date","Title","Text"
"2/3/2011","Estamos en alpha! ","<p>Esta es la primera publicación de este sitio. Actualmente no están cargadas todas las paradas de colectivo ni todos sus horarios, únicamente la Línea 6 y las paradas de IDA de su recorrido.</p> <p>Haciendo click sobre cada uno de los íconos de información se muestran los colectivos que pasan por ese lugar en los próximos 30 minutos.</p> <p><em>**Mandame un mail con sugerencias, errores y comentarios!</em></p>"
"3/3/2011","Recorridos!","<p>Agregué una funcionalidad para poder mostrar los recorridos de los colectivos en sus dos direcciones: Ida y Vuelta</p>"
"3/3/2011","GitHub","<p>Publiqué el código en <a href=""https://github.com/humitos/bus-stopped"">GitHub</a></p>"
"4/3/2011","Linea 5","<p>Estan cargados los horarios de la <b>Linea 5</b> tal cual figuran en su sitio web.<p>"
"5/3/2011","Linea 1","<p>Estan cargados los horarios de la <b>Linea 1</b> tal cual figuran en su sitio web: Ida y Vuelta para los dias Habiles, Sabados y Domingos.<p>"
"6/3/2011","Linea 10","<p>Estan cargados los horarios de la <b>Linea 10</b> tal cual figuran en su sitio web: Ida y Vuelta para los dias Habiles, Sabados y Domingos.<p>"
"6/3/2011","Linea 11/21","<p>Estan cargados los horarios de la <b>Linea 11/21</b> tal cual figuran en su sitio web: Ida y Vuelta para los dias Habiles, Sabados y Domingos.<p>"
"7/3/2011","Linea 15","<p>Agregamos los horarios de la Linea 15</p>"
"8/3/2011","Horarios de IDA de la Línea 1","<p>Faltaban los horarios de la Línea 1 en su recorrido de IDA y ahora están cargados :)</p>"
"8/3/2011","Actualización de Horarios","<p>Actualicé muchos horarios que o bien estaban mal o bien faltaban en las paradas intermedias de las que se listan en los horarios oficiales (los calculados)</p>"
"9/3/2011","Recorridos para las Líneas 5, 6 y 10","<p>Ahora podemos ver los recorridos de las Líneas 5, 6 y 10 dentro del mapa. Indicando con ROJO si es el recorrido de Vuelta y AZUL si es el de IDA</p>"
"10/3/2011","¡Nueva versión!","<p>Subí una nueva versión, con varios cambios, nuevos horarios y recorridos. Estoy buscando información sobre puntos de ventas de tarjetas de colectivos. Si sabés de algún lugar avisame por Facebook o mandame un mail.</p> <p>Consultá la sección Historial de Cambios si querés saber cuáles son todos los cambios.</p>"
16/03/11,"Nueva actualización de Horarios","<p>De acuerdo al cambio de horarios y recorridos que se <a href=”http://usuarios.advance.com.ar/isti98/Novedades.htm”>ha notificado</a> La Victoria SRL se han actualizado los horarios y recorridos para las Líneas afectadas (1 y 5)</p>"
