"Toma Nueva","Toma Vieja","Alvear","y Racedo","Barrio Santa Lucía","Comments"
40,39,41,37,36,
06:15:00," ",06:36:00,06:45:00,"6:57 (2)",
" ",07:04:00,07:28:00,07:37:00,07:47:00,
07:33:00," ",07:57:00,08:06:00,"8:19 (2)",
" ",08:00:00,08:24:00,08:33:00,08:44:00,
08:27:00," ",08:51:00,09:00:00,09:11:00,
" ",08:54:00,09:18:00,09:27:00,"9:40 (2)",
09:21:00," ",09:45:00,09:54:00,10:05:00,
" ",09:48:00,10:12:00,10:21:00,10:32:00,
10:15:00," ",10:39:00,10:48:00,"11:01 (2)",
" ",10:42:00,11:06:00,11:15:00,11:26:00,
11:09:00," ",11:33:00,11:42:00,11:53:00,
" ",11:36:00,12:00:00,12:09:00,"12:22 (2)",
12:03:00," ",12:27:00,12:36:00,12:47:00,
" ",12:30:00,12:54:00,13:03:00,13:14:00,
12:57:00," ",13:21:00,13:30:00,"13:43 (2)",
" ",13:24:00,13:48:00,13:57:00,14:08:00,
13:51:00," ",14:15:00,14:24:00,14:35:00,
" ",14:18:00,14:42:00,14:51:00,"15:04 (2)",
14:45:00," ",15:09:00,15:18:00,15:29:00,
" ",15:12:00,15:36:00,15:45:00,15:56:00,
15:39:00," ",16:03:00,16:12:00,"16:25 (2)",
" ",16:06:00,16:30:00,16:39:00,16:50:00,
16:33:00," ",16:57:00,17:06:00,17:17:00,
" ",17:00:00,17:24:00,17:33:00,"17:46 (2)",
17:27:00," ",17:51:00,18:00:00,18:11:00,
" ",17:54:00,18:18:00,18:27:00,18:38:00,
18:21:00," ",18:45:00,18:54:00,"19:07 (2)",
" ",18:48:00,19:12:00,19:21:00,19:32:00,
19:15:00," ",19:39:00,19:48:00,19:59:00,
" ",19:42:00,20:06:00,20:15:00,"20:28 (2)",
20:09:00," ",20:33:00,20:42:00,20:53:00,
" ",20:36:00,21:00:00,21:09:00,21:20:00,
21:03:00," ",21:27:00,21:36:00,"21:49 (2)",
" ",21:30:00,21:54:00,22:03:00,22:14:00,
21:57:00," ",22:21:00,22:30:00,22:41:00,
" ",22:24:00,22:48:00,22:57:00,"23:10 (2)",
22:57:00," ",23:21:00,23:30:00,23:41:00,
" ",23:27:00,23:47:00,23:55:00,00:05:00,
00:00:00," ",00:19:00,00:27:00,00:36:00,
" ","-","-","-","-",
"-"," ","-","-","-",
