"Santa Lucia","Cementerio Solar del Rio"," Divina Providencia","Av. Américas y Lebhenson","Monte Caseros y Alem","5 Esquinas","Barrio La Milagrosa","Barrio Hernandarias","Comments"
47,52,48,42,43,44,46,45,
,,"-","-","-","-","-",,
,,"-","-","-","-","-",,
,,"05:17 (DP)",05:24:00,05:35:00,05:49:00,"06:02 (LM)",,
"05:30 (SL)",,,05:37:00,05:48:00,06:02:00,,"06:15 (BH)",
"05:45 (SL)",,,05:52:00,06:03:00,06:17:00,"06:30 (LM)",,
,,"06:00 (DP)",06:07:00,06:18:00,06:32:00,,"06:46 (BH)",
"06:15 (SL)",,,06:22:00,06:33:00,06:47:00,"07:01 (LM)",,
,,"06:30 (DP)",06:37:00,06:48:00,07:02:00,,"07:16 (BH)",
"06:45 (SL)",,,06:52:00,07:04:00,07:18:00,"07:32 (LM)",,
"07:00 (SL)",,,07:07:00,07:19:00,07:33:00,,"07:47 (BH)",
"07:15 (SL)",,,07:23:00,07:35:00,07:49:00,"08:03 (LM)",,
,,"07:30 (DP)",07:38:00,07:50:00,08:04:00,,"08:18 (BH)",
"07:45 (SL)",,,07:53:00,08:05:00,08:20:00,"08:34 (LM)",,
"08:00 (SL)",,,08:08:00,08:20:00,08:35:00,,"08:49 (BH)",
,,"08:15 (DP)",08:23:00,08:35:00,08:52:00,"09:06 (LM)",,
"08:30 (SL)",,,08:38:00,08:50:00,09:07:00,,"09:21 (BH)",
"08:45 (SL)",,,08:53:00,09:05:00,09:22:00,"09:36 (LM)",,
,,"09:00 (DP)",09:08:00,09:20:00,09:37:00,,"09:51 (BH)",
"09:15 (SL)",,,09:23:00,09:35:00,09:52:00,"10:06 (LM)",,
"09:30 (SL)",,,09:38:00,09:50:00,10:07:00,,"10:21 (BH)",
,"09:43 (SR)",,09:53:00,10:05:00,10:22:00,"10:36 (LM)",,
"10:00 (SL)",,,10:08:00,10:20:00,10:37:00,,"10:51 (BH)",
"10:15 (SL)",,,10:23:00,10:35:00,10:52:00,"11:06 (LM)",,
,"10:28 (SR)",,10:38:00,10:50:00,11:07:00,,"11:21 (BH)",
"10:45 (SL)",,,10:53:00,11:05:00,11:22:00,"11:36 (LM)",,
"11:00 (SL)",,,11:08:00,11:20:00,11:37:00,,"11:51 (BH)",
,,"11:15 (DP)",11:23:00,11:35:00,11:52:00,"12:06 (LM)",,
"11:30 (SL)",,,11:38:00,11:50:00,12:07:00,,"12:21 (BH)",
"11:45 (SL)",,,11:53:00,12:05:00,12:22:00,"12:36 (LM)",,
,,"12:00 (DP)",12:08:00,12:20:00,12:37:00,,"12:51 (BH)",
"12:15 (SL)",,,12:23:00,12:35:00,12:52:00,"13:06 (LM)",,
"12:30 (SL)",,,12:38:00,12:50:00,13:07:00,,"13:21 (BH)",
,,"12:45 (DP)",12:53:00,13:05:00,13:22:00,"13:36 (LM)",,
"13:00 (SL)",,,13:08:00,13:20:00,13:37:00,,"13:51 (BH)",
"13:15 (SL)",,,13:23:00,13:35:00,13:52:00,"14:06 (LM)",,
,,"13:30 (DP)",13:38:00,13:50:00,14:07:00,,"14:21 (BH)",
"13:45 (SL)",,,13:53:00,14:05:00,14:22:00,"14:36 (LM)",,
"14:00 (SL)",,,14:08:00,14:20:00,14:37:00,,"14:51 (BH)",
,,"14:15 (DP)",14:23:00,14:35:00,14:52:00,"15:06 (LM)",,
"14:30 (SL)",,,14:38:00,14:50:00,15:07:00,,"15:21 (BH)",
"14:45 (SL)",,,14:53:00,15:05:00,15:22:00,"15:36 (LM)",,
,,"15:00 (DP)",15:08:00,15:20:00,15:37:00,,"15:51 (BH)",
"15:15 (SL)",,,15:23:00,15:35:00,15:52:00,"16:06 (LM)",,
"15:30 (SL)",,,15:38:00,15:50:00,16:07:00,,"16:21 (BH)",
,,"15:45 (DP)",15:53:00,16:05:00,16:22:00,"16:36 (LM)",,
"16:00 (SL)",,,16:08:00,16:20:00,16:37:00,,"16:51 (BH)",
"16:15 (SL)",,,16:23:00,16:35:00,16:52:00,"17:06 (LM)",,
,"16:28 (SR)",,16:38:00,16:50:00,17:07:00,,"17:21 (BH)",
"16:45 (SL)",,,16:53:00,17:05:00,17:22:00,"17:36 (LM)",,
"17:00 (SL)",,,17:08:00,17:20:00,17:37:00,,"17:51 (BH)",
,"17:13 (SR)",,17:23:00,17:35:00,17:52:00,"18:06 (LM)",,
"17:30 (SL)",,,17:38:00,17:50:00,18:07:00,,"18:21 (BH)",
"17:45 (SL)",,,17:53:00,18:05:00,18:22:00,"18:36 (LM)",,
,,"18:00 (DP)",18:08:00,18:20:00,18:37:00,,"18:51 (BH)",
"18:15 (SL)",,,18:23:00,18:35:00,18:52:00,"19:06 (LM)",,
"18:30 (SL)",,,18:38:00,18:50:00,19:07:00,,"19:21 (BH)",
,,"18:45 (DP)",18:53:00,19:05:00,19:22:00,"19:36 (LM)",,
"19:00 (SL)",,,19:08:00,19:20:00,19:37:00,,"19:51 (BH)",
"19:15 (SL)",,,19:23:00,19:35:00,19:52:00,"20:06 (LM)",,
,,"19:30 (DP)",19:38:00,19:50:00,20:07:00,,"20:21 (BH)",
"19:45 (SL)",,,19:53:00,20:05:00,20:21:00,"20:35 (LM)",,
"20:02 (SL)",,,20:10:00,20:21:00,20:37:00,"20:51 (LM)",,
,,"20:21 (DP)",20:28:00,20:39:00,20:55:00,,"21:09 (BH)",
"20:40 (SL)",,,20:47:00,20:58:00,21:14:00,"21:28 (LM)",,
"21:00 (SL)",,,21:07:00,21:18:00,21:32:00,,"21:46 (BH)",
,,"21:20 (DP)",21:27:00,21:37:00,21:51:00,"22:04 (LM)",,
"21:40 (SL)",,,21:47:00,21:57:00,22:11:00,,"22:24 (BH)",
