"Hospital Roballos / Toma Nueva","Plaza Alvear","5 Esquinas","Churruarin y Rondeau","Barrio Policial"
34,35,32,31,30
05:15:00,05:32:00,05:40:00,05:45:00,05:55:00
" ",05:49:00,05:58:00,06:03:00,06:12:00
05:35:00,05:59:00,06:07:00,06:12:00,06:22:00
" ",06:11:00,06:20:00,06:25:00,06:34:00
05:54:00,06:18:00,06:27:00,06:32:00,06:42:00
" ",06:24:00,06:33:00,06:38:00,06:47:00
" ",06:39:00,06:50:00,06:55:00,07:04:00
" ",06:46:00,06:57:00,07:02:00,07:11:00
" ",06:52:00,07:03:00,07:08:00,07:17:00
06:32:00,07:00:00,07:10:00,07:15:00,07:27:00
" ",07:05:00,07:15:00,07:20:00,07:29:00
" ",07:12:00,07:22:00,07:27:00,07:36:00
" ",07:18:00,07:29:00,07:35:00,07:45:00
06:56:00,07:24:00,07:35:00,07:40:00,07:52:00
" ",07:30:00,07:41:00,07:47:00,07:57:00
" ",07:37:00,07:48:00,07:54:00,08:04:00
" ",07:43:00,07:54:00,08:00:00,08:10:00
07:21:00,07:49:00,08:01:00,08:07:00,08:19:00
" ",07:55:00,08:06:00,08:12:00,08:22:00
" ",08:01:00,08:12:00,08:18:00,08:28:00
" ",08:07:00,08:19:00,08:25:00,08:35:00
07:45:00,08:13:00,08:25:00,08:31:00,08:43:00
" ",08:18:00,08:30:00,08:36:00,08:46:00
" ",08:24:00,08:36:00,08:42:00,08:52:00
" ",08:30:00,08:42:00,08:48:00,08:58:00
08:08:00,08:36:00,08:48:00,08:54:00,09:06:00
" ",08:42:00,08:54:00,09:00:00,09:10:00
" ",08:49:00,09:01:00,09:07:00,09:17:00
" ",08:56:00,09:08:00,09:14:00,09:24:00
08:34:00,09:02:00,09:14:00,09:20:00,09:32:00
" ",09:08:00,09:20:00,09:26:00,09:36:00
" ",09:14:00,09:26:00,09:32:00,09:42:00
" ",09:20:00,09:32:00,09:38:00,09:48:00
08:58:00,09:26:00,09:38:00,09:44:00,09:56:00
" ",09:32:00,09:44:00,09:50:00,10:00:00
" ",09:38:00,09:50:00,09:56:00,10:06:00
" ",09:44:00,09:56:00,10:02:00,10:12:00
09:22:00,09:50:00,10:02:00,10:08:00,10:20:00
" ",09:56:00,10:08:00,10:14:00,10:24:00
" ",10:02:00,10:14:00,10:20:00,10:30:00
" ",10:08:00,10:20:00,10:26:00,10:36:00
09:46:00,10:14:00,10:26:00,10:32:00,10:44:00
" ",10:20:00,10:32:00,10:38:00,10:48:00
" ",10:26:00,10:38:00,10:44:00,10:54:00
" ",10:32:00,10:44:00,10:50:00,11:00:00
10:10:00,10:38:00,10:50:00,10:56:00,11:08:00
" ",10:44:00,10:56:00,11:02:00,11:12:00
" ",10:50:00,11:02:00,11:08:00,11:18:00
" ",10:56:00,11:08:00,11:14:00,11:24:00
10:34:00,11:02:00,11:14:00,11:20:00,11:32:00
" ",11:08:00,11:20:00,11:26:00,11:36:00
" ",11:14:00,11:26:00,11:32:00,11:42:00
" ",11:20:00,11:32:00,11:38:00,11:48:00
10:58:00,11:26:00,11:38:00,11:44:00,11:56:00
" ",11:32:00,11:44:00,11:50:00,12:00:00
" ",11:38:00,11:50:00,11:56:00,12:06:00
" ",11:44:00,11:56:00,12:02:00,12:12:00
11:22:00,11:50:00,12:02:00,12:08:00,12:20:00
" ",11:56:00,12:08:00,12:14:00,12:24:00
" ",12:02:00,12:14:00,12:20:00,12:30:00
" ",12:08:00,12:20:00,12:26:00,12:36:00
11:46:00,12:14:00,12:26:00,12:32:00,12:44:00
" ",12:20:00,12:32:00,12:38:00,12:48:00
" ",12:26:00,12:38:00,12:44:00,12:54:00
" ",12:32:00,12:44:00,12:50:00,13:00:00
12:10:00,12:38:00,12:50:00,12:56:00,13:08:00
" ",12:44:00,12:56:00,13:02:00,13:12:00
" ",12:50:00,13:02:00,13:08:00,13:18:00
" ",12:56:00,13:08:00,13:14:00,13:24:00
12:34:00,13:02:00,13:14:00,13:20:00,13:32:00
" ",13:08:00,13:20:00,13:26:00,13:36:00
" ",13:14:00,13:26:00,13:32:00,13:42:00
" ",13:20:00,13:32:00,13:38:00,13:48:00
13:02:00,13:30:00,13:42:00,13:48:00,14:00:00
" ",13:40:00,13:52:00,13:58:00,14:08:00
" ",13:50:00,14:02:00,14:07:00,14:17:00
13:32:00,14:00:00,14:12:00,14:17:00,14:29:00
" ",14:11:00,14:23:00,14:28:00,14:38:00
" ",14:22:00,14:34:00,14:39:00,14:49:00
14:03:00,14:31:00,14:43:00,14:48:00,15:00:00
" ",14:43:00,14:55:00,15:00:00,15:10:00
" ",14:54:00,15:06:00,15:11:00,15:21:00
14:36:00,15:04:00,15:16:00,15:21:00,15:33:00
" ",15:15:00,15:27:00,15:32:00,15:42:00
" ",15:26:00,15:38:00,15:43:00,15:53:00
15:06:00,15:34:00,15:46:00,15:51:00,16:03:00
" ",15:47:00,15:59:00,16:04:00,16:14:00
" ",15:58:00,16:09:00,16:14:00,16:24:00
15:40:00,16:08:00,16:20:00,16:25:00,16:36:00
" ",16:19:00,16:31:00,16:36:00,16:46:00
" ",16:30:00,16:42:00,16:47:00,16:57:00
16:11:00,16:39:00,16:51:00,16:57:00,17:09:00
" ",16:48:00,17:00:00,17:06:00,17:16:00
" ",16:54:00,17:06:00,17:12:00,17:22:00
" ",17:00:00,17:12:00,17:18:00,17:28:00
16:38:00,17:06:00,17:18:00,17:24:00,17:36:00
" ",17:12:00,17:24:00,17:30:00,17:40:00
" ",17:18:00,17:30:00,17:36:00,17:46:00
" ",17:24:00,17:36:00,17:42:00,17:52:00
17:02:00,17:30:00,17:42:00,17:48:00,18:00:00
" ",17:36:00,17:48:00,17:54:00,18:04:00
" ",17:42:00,17:54:00,18:00:00,18:10:00
" ",17:48:00,18:00:00,18:06:00,18:16:00
17:26:00,17:54:00,18:06:00,18:12:00,18:24:00
" ",18:00:00,18:12:00,18:18:00,18:28:00
" ",18:06:00,18:18:00,18:24:00,18:34:00
" ",18:12:00,18:24:00,18:30:00,18:40:00
17:50:00,18:18:00,18:30:00,18:36:00,18:48:00
" ",18:24:00,18:36:00,18:42:00,18:52:00
" ",18:30:00,18:42:00,18:48:00,18:58:00
" ",18:36:00,18:48:00,18:54:00,19:04:00
18:14:00,18:42:00,18:54:00,19:00:00,19:12:00
" ",18:48:00,19:00:00,19:06:00,19:16:00
" ",18:54:00,19:06:00,19:12:00,19:22:00
" ",19:00:00,19:12:00,19:18:00,19:28:00
18:38:00,19:06:00,19:18:00,19:24:00,19:36:00
" ",19:12:00,19:24:00,19:30:00,19:40:00
" ",19:18:00,19:30:00,19:36:00,19:46:00
" ",19:24:00,19:36:00,19:41:00,19:50:00
19:02:00,19:30:00,19:42:00,19:48:00,20:00:00
" ",19:36:00,19:48:00,19:54:00,20:04:00
" ",19:42:00,19:54:00,20:00:00,20:10:00
" ",19:48:00,20:00:00,20:06:00,20:16:00
19:26:00,19:54:00,20:06:00,20:12:00,20:24:00
" ",20:00:00,20:12:00,20:18:00,20:28:00
" ",20:08:00,20:20:00,20:26:00,20:36:00
" ",20:16:00,20:28:00,20:34:00,20:44:00
19:55:00,20:23:00,20:35:00,20:41:00,20:53:00
" ",20:31:00,20:43:00,20:49:00,20:59:00
" ",20:39:00,20:51:00,20:57:00,21:07:00
" ",20:48:00,21:00:00,21:06:00,21:16:00
20:26:00,20:54:00,21:06:00,21:12:00,21:24:00
" ",21:02:00,21:14:00,21:20:00,21:30:00
" ",21:10:00,21:22:00,21:28:00,21:37:00
" ",21:19:00,21:31:00,21:37:00,21:46:00
20:59:00,21:27:00,21:38:00,21:43:00,21:55:00
" ",21:35:00,21:46:00,21:51:00,22:00:00
" ",21:43:00,21:54:00,21:59:00,22:08:00
21:26:00,21:54:00,22:05:00,22:10:00,22:22:00
" ",22:03:00,22:15:00,22:20:00,22:29:00
" ",22:15:00,22:26:00,22:31:00,22:40:00
21:59:00,22:27:00,22:38:00,22:43:00,22:55:00
" ",22:39:00,22:50:00,22:55:00,23:04:00
" ",22:53:00,23:03:00,23:08:00,23:17:00
22:42:00,23:10:00,23:21:00,23:26:00,23:38:00
" ",23:24:00,23:34:00,23:39:00,23:48:00
23:03:00,23:29:00,23:40:00,23:45:00,23:55:00
23:30:00,23:55:00,00:05:00,00:10:00,00:20:00
00:00:00,00:24:00,00:33:00,00:38:00,00:48:00
"-","-","-","-","-"
"-","-","-","-","-"
