"SALE DE P. INDUSTRIAL","ALMAFUERTE Y AV. ZANNI","CINCO ESQUINAS","PLAZA DE MAYO","Comments"
25,26,27,28,
05:15:00,05:41:00,05:50:00,05:55:00,
06:12:00,06:38:00,06:47:00,06:52:00,
07:15:00,07:41:00,07:50:00,07:55:00,
08:14:00,08:40:00,08:49:00,08:54:00,
09:13:00,09:39:00,09:48:00,09:53:00,
10:18:00,10:44:00,10:53:00,10:58:00,
11:15:00,11:41:00,11:50:00,11:55:00,
12:11:00,12:37:00,12:46:00,12:51:00,
13:11:00,13:37:00,13:46:00,13:51:00,
14:15:00,14:41:00,14:50:00,14:55:00,
15:19:00,15:45:00,15:54:00,15:59:00,
16:18:00,16:44:00,16:53:00,16:58:00,
17:10:00,17:36:00,17:45:00,17:50:00,
18:17:00,18:43:00,18:52:00,18:57:00,
19:13:00,19:38:00,19:47:00,19:52:00,
20:21:00,20:46:00,20:55:00,21:00:00,
