"CASA DE gobierno","PERU Y pellegrini","AV. RAMIREZ y e. carbo","ALMAFUERTE y av. Zanni","LLEGA A parque industrial","Comments"
29,59,60,26,25,
05:10:00,05:14:00,05:21:00,05:30:00,05:50:00,
06:04:00,06:09:00,06:16:00,06:25:00,06:48:00,
07:01:00,07:06:00,07:13:00,07:22:00,07:45:00,
08:04:00,08:09:00,08:16:00,08:25:00,08:48:00,
09:03:00,09:08:00,09:15:00,09:24:00,09:47:00,
10:02:00,10:07:00,10:14:00,10:23:00,10:46:00,
11:07:00,11:12:00,11:19:00,11:28:00,11:51:00,
12:04:00,12:09:00,12:16:00,12:25:00,12:48:00,
13:00:00,13:05:00,13:12:00,13:21:00,13:44:00,
14:00:00,14:05:00,14:12:00,14:21:00,14:44:00,
15:04:00,15:09:00,15:16:00,15:25:00,15:48:00,
16:08:00,16:13:00,16:20:00,16:29:00,16:52:00,
17:07:00,17:12:00,17:19:00,17:28:00,17:51:00,
17:59:00,18:04:00,18:11:00,18:20:00,18:43:00,
19:06:00,19:11:00,19:18:00,19:27:00,19:50:00,
20:00:00,20:05:00,20:12:00,20:21:00,20:43:00,
21:08:00,21:13:00,21:20:00,21:29:00,21:50:00,
