"Thompson","Alvear","Alberdi","Km. 5 1/2","ORO VERDE","Comments"
4,7,8,2,1,
05:10:00,05:20:00,05:26:00,05:43:00,05:50:00,
05:29:00,05:39:00,05:45:00,06:02:00,06:09:00,"por PARACAO"
05:57:00,06:07:00,06:13:00,06:31:00,06:38:00,
06:34:00,06:45:00,06:51:00,07:09:00,07:16:00,"por PARACAO"
07:04:00,07:16:00,07:23:00,07:42:00,07:49:00,
07:29:00,07:41:00,07:49:00,08:10:00,08:17:00,"por PARACAO"
07:49:00,08:01:00,08:09:00,08:30:00,08:37:00,
08:05:00,08:17:00,08:25:00,08:46:00,08:53:00,"por PARACAO"
08:21:00,08:33:00,08:41:00,09:02:00,09:09:00,
08:37:00,08:49:00,08:57:00,09:18:00,09:25:00,"por PARACAO"
08:53:00,09:05:00,09:13:00,09:34:00,09:41:00,
09:09:00,09:21:00,09:29:00,09:50:00,09:57:00,"por PARACAO"
09:25:00,09:37:00,09:45:00,10:06:00,10:13:00,
09:41:00,09:53:00,10:01:00,10:22:00,10:29:00,"por PARACAO"
09:57:00,10:09:00,10:17:00,10:38:00,10:45:00,
10:13:00,10:25:00,10:33:00,10:54:00,11:01:00,"por PARACAO"
10:29:00,10:41:00,10:49:00,11:10:00,11:17:00,
10:45:00,10:57:00,11:05:00,11:26:00,11:33:00,"por PARACAO"
11:01:00,11:13:00,11:21:00,11:42:00,11:49:00,
11:17:00,11:29:00,11:37:00,11:58:00,12:05:00,"por PARACAO"
11:33:00,11:45:00,11:53:00,12:14:00,12:21:00,
11:49:00,12:01:00,12:09:00,12:30:00,12:37:00,"por PARACAO"
12:05:00,12:17:00,12:25:00,12:46:00,12:53:00,
12:21:00,12:33:00,12:41:00,13:02:00,13:09:00,"por PARACAO"
12:37:00,12:49:00,12:57:00,13:18:00,13:25:00,
12:53:00,13:05:00,13:13:00,13:34:00,13:41:00,"por PARACAO"
13:10:00,13:22:00,13:30:00,13:50:00,13:57:00,
13:32:00,13:44:00,13:52:00,14:12:00,14:19:00,"por PARACAO"
13:54:00,14:06:00,14:14:00,14:34:00,14:41:00,
14:16:00,14:28:00,14:36:00,14:56:00,15:03:00,"por PARACAO"
14:38:00,14:50:00,14:58:00,15:18:00,15:25:00,
15:00:00,15:12:00,15:20:00,15:40:00,15:47:00,"por PARACAO"
15:22:00,15:34:00,15:42:00,16:02:00,16:09:00,
15:44:00,15:56:00,16:04:00,16:24:00,16:31:00,"por PARACAO"
16:06:00,16:18:00,16:26:00,16:46:00,16:53:00,
16:28:00,16:40:00,16:48:00,17:08:00,17:15:00,"por PARACAO"
16:50:00,17:02:00,17:10:00,17:30:00,17:37:00,
17:12:00,17:24:00,17:32:00,17:52:00,17:59:00,"por PARACAO"
17:31:00,17:43:00,17:51:00,18:12:00,18:19:00,
17:47:00,17:59:00,18:07:00,18:28:00,18:35:00,"por PARACAO"
18:03:00,18:15:00,18:23:00,18:44:00,18:51:00,
18:19:00,18:31:00,18:39:00,19:00:00,19:07:00,"por PARACAO"
18:35:00,18:47:00,18:55:00,19:16:00,19:23:00,
18:51:00,19:03:00,19:11:00,19:32:00,19:39:00,"por PARACAO"
19:07:00,19:19:00,19:27:00,19:48:00,19:55:00,
19:23:00,19:35:00,19:43:00,20:04:00,20:11:00,"por PARACAO"
19:39:00,19:51:00,19:59:00,20:20:00,20:27:00,
19:55:00,20:07:00,20:15:00,20:36:00,20:43:00,"por PARACAO"
20:11:00,20:23:00,20:31:00,20:52:00,20:59:00,
20:29:00,20:41:00,20:49:00,21:10:00,21:17:00,"por PARACAO"
20:47:00,20:59:00,21:07:00,21:28:00,21:35:00,
21:04:00,21:16:00,21:24:00,21:45:00,21:52:00,"por PARACAO"
21:23:00,21:35:00,21:43:00,22:03:00,22:10:00,
21:43:00,21:55:00,22:03:00,22:23:00,22:30:00,"por PARACAO"
22:03:00,22:15:00,22:23:00,22:43:00,22:50:00,
22:25:00,22:36:00,22:45:00,23:05:00,23:12:00,"por PARACAO"
22:47:00,22:58:00,23:06:00,23:25:00,23:32:00,
23:05:00,23:17:00,23:25:00,23:45:00,23:52:00,"por PARACAO"
23:25:00,23:35:00,23:41:00,23:58:00,00:05:00,
23:50:00,00:00:00,00:06:00,00:23:00,00:30:00,"por PARACAO"
00:14:00,"-","-","-","-",
00:39:00,"-","-","-","-",
